Product_ID,Sale_Date,Sales_Rep,Region,Sales_Amount,Quantity_Sold,Product_Category,Unit_Cost,Unit_Price,Customer_Type,Discount,Payment_Method,Sales_Channel,Region_and_Sales_Rep,Profit
1052,03/02/2023,Bob,North,"$4,809.96",18,Furniture,$152.75,$267.22,Returning,0.09,Cash,Online,North-Bob,"$2,060.46"
1093,21/04/2023,Bob,West,"$71,560.48",17,Furniture,"$3,816.39","$4,209.44",Returning,0.11,Cash,Retail,West-Bob,"$6,681.85"
1015,21/09/2023,David,South,"$11,142.00",30,Food,$261.56,$371.40,Returning,0.20,Bank Transfer,Retail,South-David,"$3,295.20"
1072,24/08/2023,Bob,South,"$174,242.25",39,Clothing,"$4,330.03","$4,467.75",New,0.02,Credit Card,Retail,South-Bob,"$5,371.08"
1061,24/03/2023,Charlie,East,"$9,005.23",13,Electronics,$637.37,$692.71,New,0.08,Credit Card,Online,East-Charlie,$719.42
1021,11/02/2023,Charlie,West,"$35,408.32",32,Food,$900.79,"$1,106.51",New,0.21,Cash,Online,West-Charlie,"$6,583.04"
1083,11/04/2023,Bob,West,"$76,098.61",29,Furniture,"$2,408.81","$2,624.09",Returning,0.14,Cash,Online,West-Bob,"$6,243.12"
1087,06/01/2023,Eve,South,"$182,373.90",46,Furniture,"$3,702.51","$3,964.65",New,0.12,Bank Transfer,Online,South-Eve,"$12,058.44"
1075,29/06/2023,David,South,"$32,863.50",30,Furniture,$738.06,"$1,095.45",New,0.05,Bank Transfer,Online,South-David,"$10,721.70"
1075,09/10/2023,Charlie,West,"$48,282.12",18,Clothing,"$2,228.35","$2,682.34",New,0.13,Bank Transfer,Online,West-Charlie,"$8,171.82"
1088,16/11/2023,Eve,North,"$32,728.80",13,Furniture,"$2,440.11","$2,517.60",New,0.23,Bank Transfer,Retail,North-Eve,"$1,007.37"
1100,14/08/2023,Bob,West,"$48,909.92",43,Food,"$1,100.81","$1,137.44",Returning,0.08,Bank Transfer,Online,West-Bob,"$1,575.09"
1024,11/11/2023,Eve,West,"$13,462.89",21,Food,$622.01,$641.09,Returning,0.00,Bank Transfer,Retail,West-Eve,$400.68
1003,31/12/2023,Alice,South,"$128,119.50",30,Furniture,"$4,190.28","$4,270.65",New,0.20,Cash,Online,South-Alice,"$2,411.10"
1022,17/08/2023,Charlie,South,"$60,261.60",21,Food,"$2,537.20","$2,869.60",New,0.29,Bank Transfer,Retail,South-Charlie,"$6,980.40"
1053,16/10/2023,Bob,North,"$23,407.20",48,Furniture,$121.19,$487.65,New,0.18,Cash,Retail,North-Bob,"$17,590.08"
1002,30/05/2023,David,North,"$75,142.55",17,Furniture,"$4,024.76","$4,420.15",Returning,0.04,Cash,Online,North-David,"$6,721.63"
1088,04/10/2023,Bob,East,"$201,374.00",40,Electronics,"$4,904.93","$5,034.35",New,0.10,Credit Card,Retail,East-Bob,"$5,176.80"
1030,17/07/2023,David,West,"$60,975.18",19,Clothing,"$3,049.33","$3,209.22",Returning,0.26,Cash,Online,West-David,"$3,037.91"
1038,11/03/2023,Bob,South,"$41,851.50",15,Clothing,"$2,543.36","$2,790.10",Returning,0.07,Cash,Online,South-Bob,"$3,701.10"
